项目性质,项目名称,所属行业,组织形式,招标方式,招标编号/项目编号,招标条件/说明,中标人名称,中标价格,其他公示内容,监督部门,招标人/采购人,招标人地址,招标人联系人,招标人联系方式,招标代理机构,招标代理机构地址,招标代理机构联系人,招标代理机构联系方式,发布日期,发布网站,详情页面
依法,山西蓝焰煤层气集团有限责任公司机电设备分公司生产设备拆装运输服务中标结果公示,能源电力,常规招标,公开招标,HXZB-FW20260516,山西蓝焰煤层气集团有限责任公司机电设备分公司生产设备拆装运输服务（招标编号：HXZB-FW20260516），确定001第一标段的中标人如下:,山西上下工贸有限公司,3131400元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西蓝焰控股股份有限公司,山西蓝焰控股股份有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-24 11:13:34,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2069619452262047744
依法,太原天然气有限公司太原市市政道路老旧燃气管网及燃气管道系统安全治理工程(一期)及燃气管网生命线安全工程（一期）项目智能化设备采购(003标段)二次重新招标中标结果公示,能源电力,二次重新招标,公开招标,HXZB-HW20260309,太原天然气有限公司太原市市政道路老旧燃气管网及燃气管道系统安全治理工程(一期)及燃气管网生命线安全工程（一期）项目智能化设备采购（招标编号：HXZB-HW20260309），确定003第三标段的中标人如下:,浙江青墨湾能源科技有限公司,6912000.00元,发布媒体：山西省招标投标公共服务平台、华新阳光采购平台,太原市城乡管理局、华新燃气集团有限公司、太原天然气有限公司,太原天然气有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,李晓辉、张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-23 11:04:58,"华新阳光采购平台,山西省招标投标公共服务平台,中国招标投标公共服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2069251189296422912
依法,太原天然气有限公司太原市市政道路老旧燃气管网及燃气管道系统安全治理工程(一期)及燃气管网生命线安全工程（一期）项目智能化设备采购(004标段)二次重新招标中标结果公示,能源电力,二次重新招标,公开招标,HXZB-HW20260309,太原天然气有限公司太原市市政道路老旧燃气管网及燃气管道系统安全治理工程(一期)及燃气管网生命线安全工程（一期）项目智能化设备采购（招标编号：HXZB-HW20260309），确定004第四标段的中标人如下:,上海语鸽智能科技有限公司,1666820元,发布媒体：山西省招标投标公共服务平台、华新阳光采购平台,太原市城乡管理局、华新燃气集团有限公司、太原天然气有限公司,太原天然气有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,李晓辉、张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-23 11:04:52,"华新阳光采购平台,山西省招标投标公共服务平台,中国招标投标公共服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2069251329084186624
依法,山西华新城市燃气集团有限公司维抢修大队维抢修设备更新项目(001标段)二次重新招标中标结果公示,能源电力,二次重新招标,公开招标,HXZB-HW20260202,山西华新城市燃气集团有限公司维抢修大队维抢修设备更新项目（招标编号：HXZB-HW20260202），确定001第一标段的中标人如下:,辽宁联海石油化工集团有限责任公司,2380000.00元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西华新城市燃气集团有限公司,山西华新城市燃气集团有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张绒、李志起,0351-2453225、2221733、2221755,2026-06-23 11:04:49,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2069249327767838720
依法,山西沁盛煤层气作业有限责任公司2026年设备、材料安全性能评估及检测服务中标结果公示,其他,常规招标,公开招标,HXZB-FW20260511,山西沁盛煤层气作业有限责任公司2026年设备、材料安全性能评估及检测服务（招标编号：HXZB-FW20260511），确定001第一标段的中标人如下:,四川英识检测服务有限公司,1078789元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西蓝焰控股股份有限公司,山西蓝焰控股股份有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-23 11:04:43,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2069248518648848384
依法,山西蓝焰煤层气集团有限责任公司2026年修井、下泵、钻井材料购置项目（沁水及外部区块）(001标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-HW20260508,山西蓝焰煤层气集团有限责任公司2026年修井、下泵、钻井材料购置项目（沁水及外部区块）（招标编号：HXZB-HW20260508），确定001第一标段的中标人如下:,河北亿鑫石油管材有限公司,6598280元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西蓝焰控股股份有限公司,山西蓝焰控股股份有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-16 11:58:19,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2066725790846902272
依法,山西蓝焰煤层气集团有限责任公司2026年修井、下泵、钻井材料购置项目（沁水及外部区块）(002标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-HW20260508,山西蓝焰煤层气集团有限责任公司2026年修井、下泵、钻井材料购置项目（沁水及外部区块）（招标编号：HXZB-HW20260508），确定002第二标段的中标人如下:,东营市科创石油装备有限公司,4019480元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西蓝焰控股股份有限公司,山西蓝焰控股股份有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-16 11:58:14,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2066726072733491200
依法,山西蓝焰煤层气集团有限责任公司2026年修井、下泵、钻井材料购置项目（沁水及外部区块）(003标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-HW20260508,山西蓝焰煤层气集团有限责任公司2026年修井、下泵、钻井材料购置项目（沁水及外部区块）（招标编号：HXZB-HW20260508），确定003第三标段的中标人如下:,天津港孚石油机械制造有限公司,2343920.00元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西蓝焰控股股份有限公司,山西蓝焰控股股份有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-16 11:58:11,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2066726220553347072
依法,山西蓝焰煤层气集团有限责任公司2026年修井、下泵、钻井材料购置项目（沁水及外部区块）(004标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-HW20260508,山西蓝焰煤层气集团有限责任公司2026年修井、下泵、钻井材料购置项目（沁水及外部区块）（招标编号：HXZB-HW20260508），确定004第四标段的中标人如下:,濮阳市宇飞石油机械设备有限公司,444000元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西蓝焰控股股份有限公司,山西蓝焰控股股份有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-16 11:58:08,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2066726324689526784
依法,山西蓝焰煤层气集团有限责任公司2026年修井、下泵、钻井材料购置项目（沁水及外部区块）(005标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-HW20260508,山西蓝焰煤层气集团有限责任公司2026年修井、下泵、钻井材料购置项目（沁水及外部区块）（招标编号：HXZB-HW20260508），确定005第五标段的中标人如下:,天津锦源机械制造有限公司,1178400元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西蓝焰控股股份有限公司,山西蓝焰控股股份有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-16 11:58:03,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2066726454083805184
依法,山西蓝焰煤层气集团有限责任公司2026年修井、下泵、钻井材料购置项目（沁水及外部区块）(007标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-HW20260508,山西蓝焰煤层气集团有限责任公司2026年修井、下泵、钻井材料购置项目（沁水及外部区块）（招标编号：HXZB-HW20260508），确定007第七标段的中标人如下:,沈阳新石科技有限公司,1328000.00元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西蓝焰控股股份有限公司,山西蓝焰控股股份有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-16 11:58:00,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2066726619305828352
依法,山西蓝焰煤层气集团有限责任公司2026年修井、下泵、钻井材料购置项目（沁水及外部区块）(008标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-HW20260508,山西蓝焰煤层气集团有限责任公司2026年修井、下泵、钻井材料购置项目（沁水及外部区块）（招标编号：HXZB-HW20260508），确定008第八标段的中标人如下:,山西翰海石油科技有限公司,574000.00元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西蓝焰控股股份有限公司,山西蓝焰控股股份有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-16 11:57:55,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2066726739032236032
依法,太原煤气化燃气集团有限责任公司2026年新用户发展委托安装工程及维抢修零星工程施工(001标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-GC20260511,太原煤气化燃气集团有限责任公司2026年新用户发展委托安装工程及维抢修零星工程施工（招标编号：HXZB-GC20260511），确定001第一标段的中标人如下:,山西中泓建筑工程有限公司,54117.99元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西燃气集团有限公司,太原煤气化燃气集团有限责任公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,李晓辉、张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-16 11:57:52,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2066721788268732416
依法,太原煤气化燃气集团有限责任公司2026年新用户发展委托安装工程及维抢修零星工程施工(002标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-GC20260511,太原煤气化燃气集团有限责任公司2026年新用户发展委托安装工程及维抢修零星工程施工（招标编号：HXZB-GC20260511），确定002第二标段的中标人如下:,广跃建设有限公司,53842.02元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西燃气集团有限公司,太原煤气化燃气集团有限责任公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,李晓辉、张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-16 11:57:46,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2066721877678710784
依法,太原煤气化燃气集团有限责任公司2026年新用户发展委托安装工程及维抢修零星工程施工(003标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-GC20260511,太原煤气化燃气集团有限责任公司2026年新用户发展委托安装工程及维抢修零星工程施工（招标编号：HXZB-GC20260511），确定003第三标段的中标人如下:,信邦建设集团有限公司,53800.62元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西燃气集团有限公司,太原煤气化燃气集团有限责任公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,李晓辉、张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-16 11:57:43,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2066722117110554624
依法,太原煤气化燃气集团有限责任公司2026年新用户发展委托安装工程及维抢修零星工程施工(004标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-GC20260511,太原煤气化燃气集团有限责任公司2026年新用户发展委托安装工程及维抢修零星工程施工（招标编号：HXZB-GC20260511），确定004第四标段的中标人如下:,中化华油建设集团有限公司,47588.98元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西燃气集团有限公司,太原煤气化燃气集团有限责任公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,李晓辉、张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-16 11:57:39,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2066722278570287104
依法,太原煤气化燃气集团有限责任公司2026年新用户发展委托安装工程及维抢修零星工程施工(005标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-GC20260511,太原煤气化燃气集团有限责任公司2026年新用户发展委托安装工程及维抢修零星工程施工（招标编号：HXZB-GC20260511），确定005第五标段的中标人如下:,兴润建设集团有限公司,59394.99元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西燃气集团有限公司,太原煤气化燃气集团有限责任公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,李晓辉、张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-16 11:57:34,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2066722416361562112
依法,山西华新液化天然气集团有限公司2026年寿阳、昔阳、保德热电全厂设备维护服务中标结果公示,能源电力,常规招标,公开招标,HXZB-FW20260420,山西华新液化天然气集团有限公司2026年寿阳、昔阳、保德热电全厂设备维护服务（招标编号：HXZB-FW20260420），确定001第一标段的中标人如下:,山东鸿华建筑安装工程有限公司,4373136元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西华新液化天然气集团有限公司,山西华新液化天然气集团有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,李晓辉、张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-16 11:57:24,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2066707391664185344
依法,太原煤炭气化（集团）临汾燃气有限公司临汾市2026年市政老旧管网燃气改造工程设计中标结果公示,能源电力,常规招标,公开招标,HXZB-FW20260518,太原煤炭气化（集团）临汾燃气有限公司临汾市2026年市政老旧管网燃气改造工程设计（招标编号：HXZB-FW20260518），确定001第一标段的中标人如下:,山西省燃气规划设计研究院有限责任公司,参照《工程勘察设计收费标准（2002年修订本）》文件规定计费标准的68%计取，其中工程设计收费基价以施工单位中标价为准（包含安装费及主材费）,发布媒体：山西省招标投标公共服务平台、华新阳光采购平台,华新燃气集团有限公司、山西燃气集团有限公司,太原煤炭气化（集团）临汾燃气有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,李晓辉、张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-15 10:15:25,"华新阳光采购平台,山西省招标投标公共服务平台,中国招标投标公共服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2066341994024755200
依法,山西华新煤成气勘查开发有限公司2026年度榆社东区块煤层气勘探井抽油机采购中标结果公示,能源电力,常规招标,公开招标,HXCG-HW20260515,山西华新煤成气勘查开发有限公司2026年度榆社东区块煤层气勘探井抽油机采购（招标编号：HXCG-HW20260515），确定001第一标段的中标人如下:,渤海石油装备（天津）新世纪机械制造有限公司,5311000元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西华新煤成气勘查开发有限公司,山西华新煤成气勘查开发有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,李晓辉、张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-15 10:15:22,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2066340947059367936
依法,山西蓝焰煤层气集团有限责任公司勘探分公司2026年钻井液技术服务重新招标中标结果公示,能源电力,重新招标,公开招标,HXZB-FW20260315,山西蓝焰煤层气集团有限责任公司勘探分公司2026年钻井液技术服务（招标编号：HXZB-FW20260315），确定001第一标段的中标人如下:,安徽陆海石油助剂科技有限公司,6575000.00元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西蓝焰控股股份有限公司,山西蓝焰控股股份有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-15 10:15:16,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2066338312000462848
依法,山西蓝焰煤层气集团有限责任公司和顺横岭、武乡南勘查区块全方位宽频带三维地震服务(001标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-FW20260510,山西蓝焰煤层气集团有限责任公司和顺横岭、武乡南勘查区块全方位宽频带三维地震服务（招标编号：HXZB-FW20260510），确定001第一标段的中标人如下:,山西省煤炭地质物探测绘院有限公司,25080638元,发布媒体：山西省招标投标公共服务平台、华新阳光采购平台,华新燃气集团有限公司、山西蓝焰控股股份有限公司,山西蓝焰控股股份有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,李晓辉、张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-15 10:15:13,"华新阳光采购平台,山西省招标投标公共服务平台,中国招标投标公共服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2066335952872235008
依法,山西蓝焰煤层气集团有限责任公司和顺横岭、武乡南勘查区块全方位宽频带三维地震服务(002标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-FW20260510,山西蓝焰煤层气集团有限责任公司和顺横岭、武乡南勘查区块全方位宽频带三维地震服务（招标编号：HXZB-FW20260510），确定002第二标段的中标人如下:,中煤科工西安研究院（集团）有限公司,15366740.00元,发布媒体：山西省招标投标公共服务平台、华新阳光采购平台,华新燃气集团有限公司、山西蓝焰控股股份有限公司,山西蓝焰控股股份有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,李晓辉、张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-15 10:15:10,"华新阳光采购平台,山西省招标投标公共服务平台,中国招标投标公共服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2066336495355125760
依法,太原天然气有限公司东社、新张、罗城调压站及大井峪管线所消防手续办理服务(004标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-FW20260410,太原天然气有限公司东社、新张、罗城调压站及大井峪管线所消防手续办理服务（招标编号：HXZB-FW20260410），确定004第四标段的中标人如下:,山西京冠卓消防技术服务有限公司,290000元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、太原天然气有限公司,太原天然气有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,李晓辉、张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-15 10:15:04,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2066333380518174720
依法,太原天然气有限公司东社、新张、罗城调压站及大井峪管线所消防手续办理服务(003标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-FW20260410,太原天然气有限公司东社、新张、罗城调压站及大井峪管线所消防手续办理服务（招标编号：HXZB-FW20260410），确定003第三标段的中标人如下:,山西诚信建筑智能化工程有限公司,200000元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、太原天然气有限公司,太原天然气有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,李晓辉、张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-15 10:15:01,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2066333187265617920
依法,太原天然气有限公司东社、新张、罗城调压站及大井峪管线所消防手续办理服务(002标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-FW20260410,太原天然气有限公司东社、新张、罗城调压站及大井峪管线所消防手续办理服务（招标编号：HXZB-FW20260410），确定002第二标段的中标人如下:,山西诚信建筑智能化工程有限公司,210000元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、太原天然气有限公司,太原天然气有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,李晓辉、张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-15 10:14:55,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2066333083527897088
依法,太原天然气有限公司东社、新张、罗城调压站及大井峪管线所消防手续办理服务(001标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-FW20260410,太原天然气有限公司东社、新张、罗城调压站及大井峪管线所消防手续办理服务（招标编号：HXZB-FW20260410），确定001第一标段的中标人如下:,山西京冠卓消防技术服务有限公司,290000元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、太原天然气有限公司,太原天然气有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,李晓辉、张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-15 10:14:50,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2066332967815438336
依法,山西蓝焰煤层气集团有限责任公司机电设备分公司主电机及高低压电控系统维修保养中标结果公示,能源电力,常规招标,公开招标,HXZB-FW20260508,山西蓝焰煤层气集团有限责任公司机电设备分公司主电机及高低压电控系统维修保养（招标编号：HXZB-FW20260508），确定001第一标段的中标人如下:,山西中控集创自动化科技有限公司,985138元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西蓝焰控股股份有限公司,山西蓝焰控股股份有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-09 11:29:36,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2064186952261918720
依法,山西蓝焰煤层气集团有限责任公司液压无杆泵升级改造及水环泵、电潜泵维修服务(001标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-FW20260507,山西蓝焰煤层气集团有限责任公司液压无杆泵升级改造及水环泵、电潜泵维修服务（招标编号：HXZB-FW20260507），确定001第一标段的中标人如下:,山西亿成石油装备有限公司,1638000元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西蓝焰控股股份有限公司,山西蓝焰控股股份有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-09 11:29:32,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2064184402200584192
依法,山西蓝焰煤层气集团有限责任公司液压无杆泵升级改造及水环泵、电潜泵维修服务(002标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-FW20260507,山西蓝焰煤层气集团有限责任公司液压无杆泵升级改造及水环泵、电潜泵维修服务（招标编号：HXZB-FW20260507），确定002第二标段的中标人如下:,胜利油田新海兴达实业集团有限责任公司,565252.00元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西蓝焰控股股份有限公司,山西蓝焰控股股份有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-09 11:29:28,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2064184614394617856
依法,山西天然气有限公司2026年度运维物资采购(005标段)二次招标中标结果公示,能源电力,二次招标,公开招标,HXZB-HW20260427,山西天然气有限公司2026年度运维物资采购（招标编号：HXZB-HW20260427），确定005第五标段的中标人如下:,山西桓溢科技有限责任公司,178860元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西天然气有限公司,山西天然气有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,李晓辉、张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-09 11:29:23,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2064182922601127936
依法,山西蓝焰煤层气集团有限责任公司2026年晋城矿区煤层气加密井建设项目（二期）煤层气井工程监理服务重新二次招标中标结果公示,石油石化,重新二次招标,公开招标,HXZB-FW20260325,山西蓝焰煤层气集团有限责任公司2026年晋城矿区煤层气加密井建设项目（二期）煤层气井工程监理服务（招标编号：HXZB-FW20260325），确定001第一标段的中标人如下:,山西蓝焰煤层气工程研究有限责任公司,17024000.00元,发布媒体：山西省招标投标公共服务平台、华新阳光采购平台,华新燃气集团有限公司、山西蓝焰控股股份有限公司,山西蓝焰控股股份有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,李晓辉、张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-08 11:32:52,"华新阳光采购平台,山西省招标投标公共服务平台,中国招标投标公共服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2063822431852781568
