detail_id,detail_url,project_name,project_code,project_type,total_investment,total_investment_raw,bid_content,bid_method,bidder_name,supervision_dept,publish_type,publish_unit,construction_site,construction_scale,expected_publish_date,publish_time,trading_place,publish_date_list
1065787,https://prec.sxzwfw.gov.cn/jyxxzbjh/1065787.jhtml,闻喜县涑水新街(西湖路-城西路)道路建设工程,2017-140823-48-01-005196,房屋市政,3658.63,3658.63(万元),勘察;设计;施工;监理,公开招标,闻喜县住房和城乡建设管理局,运城市住房和城乡建设局,自主发布,闻喜县住房和城乡建设管理局,涑水新街,"建设规模:闻喜县涑水新街(西湖路-城西路)道路建设工程东起西湖路，西至城西路，道路全长1630.72m。
建设内容:(1)道路工程
本次闻喜县涑水新街(西湖路-城西路)道路建设工程东起西湖路，西至城西路，道路全长1630.72m,道路红线宽38m,横断面采用三幅路形式，其中:机动车道宽14m,非机动车道5m,人行道5m,机非隔离带2m。
(2)排水工程
根据闻喜县总体规划，各条道路敷设雨、污水管道，且采用雨、污分流制。
(3)本工程道路沿线设置交通标志标线、信号灯等相应交通管理设施、照明工程等。",2026年07月,2026-06-17 16:10:00,运城市,2026/06/17
1065732,https://prec.sxzwfw.gov.cn/jyxxzbjh/1065732.jhtml,沁源经济技术开发区化工园区突发水污染事件三级防控体系建设项目,2603-140431-89-01-796627,房屋市政,2247.68,2247.68(万元),施工,公开招标,沁源经济技术开发区管理委员会,沁源县住房和城乡建设管理局,自主发布,沁源经济技术开发区管理委员会,沁源经济技术开发区化工园区,该项目建设内容包括沁源经济技术开发区化工园区危险化学品运输道路事故应急池及配套管网工程，气盾坝，应急物资配备及在线监测装置接入智慧化监管平台。 在园区二级(园区级)危险化学品运输道路沿线，新建2座事故应急池，配套建设事故水重力流收集管网3.093km、连通明渠0.012km及转输管网0.043km；在三级(流域级)防控对应的乔龙沟河上下游，新建2座手自一体气盾坝，配套建设1座一体化泵站，清水引流管3.225km及排气井等附属工程；完善应急物资，在事故应急池设置液位计，视频监控，手自一体闸阀；在园区排口设置在线监测装置，数据接入园区智慧化平台，实现三级防控系统联网管控。,2026年07月,2026-06-17 14:30:00,长治市,2026/06/17
1065717,https://prec.sxzwfw.gov.cn/jyxxzbjh/1065717.jhtml,静乐县赤泥窊乡2026年范家洼村护地工程和滩地改造工程以工代赈项目,2508-140926-89-05-195476,水利,554.60,554.60(万元),施工,公开招标,静乐县赤泥窊乡人民政府,静乐县农业农村局,自主发布,静乐县赤泥窊乡人民政府,静乐县赤泥窊乡范家洼村,项目计划改造滩地26469.77㎡(计39.68亩)，土地改良4771.9㎡(计7.16亩)，滩地护坝2131.2m，河道清淤15738m³等。,2026年07月,2026-06-17 12:00:00,忻州市,2026/06/17
1065692,https://prec.sxzwfw.gov.cn/jyxxzbjh/1065692.jhtml,旧台怀街至光明寺村农村道路建设工程(一期),2603-140971-89-01-404382,交通,3192.07,3192.07(万元),施工,公开招标,五台山风景名胜区旅游和交通发展中心,忻州市交通运输局,自主发布,五台山风景名胜区旅游和交通发展中心,五台山风景名胜区台怀镇集福寺停车场-黛螺顶桥,"本 ⼯ 程 南 起 黛 螺 顶 桥 , 北 ⾄ 集 福寺 停 车 场 , 道 路 总 长 0 . 9 公 ⾥ , 路 基 宽 度 7 m , 采 ⽤ 四 级 公 路技 术 标 准 , 设 计 速 度 为 2 0 k m / h ｡ 主 要 建 设 内 容 包 括 路 基 ⼯ 程 ､ 路 ⾯ ⼯ 程 ､ 涵 洞 ⼯ 程 ､ 交 叉 ⼯ 程 以 及 交 通 安 全 设 施 ､ 照 明 和绿 植 等 配 套 ⼯ 程 ｡",2026年07月,2026-06-17 11:10:00,忻州市,2026/06/17
1065691,https://prec.sxzwfw.gov.cn/jyxxzbjh/1065691.jhtml,垚子村至东台沟农村公路改扩建工程,2603-140971-89-01-105403,交通,2115.17,2115.17(万元),施工,公开招标,五台山风景名胜区旅游和交通发展中心,忻州市交通运输局,自主发布,五台山风景名胜区旅游和交通发展中心,五台山风景名胜区台怀镇垚子村至东台沟村,"本 项 ⽬ 路 线 全 长 2 . 9 4 k m , 其 中 垚⼦ 村 ⾄ 东 台 沟 道 路 主 线 路 线 长2 . 4 8 8 k m , 主 K 0 + 0 0 0 - K 0 + 3 1 5 . 8段 维 持 原 既 有 村 道 技 术 标 准 不 变 , 其 余 段 落 采 ⽤ 四 级 I 类 公路 技 术 标 准 , 设 计 速 度 1 5 公 ⾥ / ⼩ 时 , 双 向 两 车道 , 路 基 宽7 . 5 ⽶ ; ⼤ 光 明 寺 中 桥 采 ⽤ 3 × 1 3 m 钢 筋 混 凝 ⼟ 现 浇 实 ⼼ 板 梁 ,桥 梁 长0 . 0 5 1 k m , 荷 载 等 级 为 公 路 - II 级 ; 桥 头 引 道 路 线 长度0 . 4 0 1 k m , 采 ⽤ 四 级 I 类 公 路 技 术 标 准 , 设 计 速 度 1 5 公 ⾥ /⼩ 时 , 双 向 两 车 道 , 路 基 宽 度 7 . 5 ⽶ ｡ 主 要 建 设 内 容 包 括 路基 ⼯ 程 ､ 路 ⾯ ⼯ 程 ､ 桥 梁 涵 洞 ⼯ 程 ､ 交 叉 ⼯ 程 以 及 交 通 安 全设 施 ､ 照 明 和 绿 植 等 配 套 ⼯ 程 ｡",2026年07月,2026-06-17 11:10:00,忻州市,2026/06/17
1065637,https://prec.sxzwfw.gov.cn/jyxxzbjh/1065637.jhtml,高都镇大兴小米种植基地项目,2512-140525-89-05-130126,农业,700.00,700.00(万元),施工;,公开招标,泽州县高都镇大兴村股份经济合作社,泽州县农业农村局,委托发布,山西筑诚工程管理有限公司,泽州县高都镇大兴村,总占地面积5204平方米。种植有机小米200亩，年加工量约2000吨。新建库房、农机具房、看护房、晾晒场、生活用房、烘干房及附属设施。机械设备配套设施有:碾米机、烘干机、包装机。,2026年07月,2026-06-17 09:25:00,晋城市,2026/06/17
1065622,https://prec.sxzwfw.gov.cn/jyxxzbjh/1065622.jhtml,绛县避难场所及防灾减灾基地提升改造建设项目,2606-140826-89-01-982447,房屋市政,613.68,613.68(万元),施工,公开招标,绛县应急管理局,绛县住房和城乡建设管理局,自主发布,绛县应急管理局,绛县古绛镇、安峪镇、横水镇,建设内容:新建工程、改造工程、装饰工程、室内给排水工程、单体消防工程、暖通工程、电气工程等相关配套设施。建设规模:古绛镇乡镇应急避难场所进行改造1处，占地面积为299.14㎡，建筑面积为299.14㎡。新建横水镇应急避难场所1处，占地面积为222.06㎡，建筑面积为431.32㎡。新建安峪镇应急避难场所1处，占地面积为222.06㎡。建筑面积为431.32㎡。提升宣教培训基地基础设施，该基地建筑面积为200㎡。,2026年07月,2026-06-17 09:15:00,运城市,2026/06/17
1065495,https://prec.sxzwfw.gov.cn/jyxxzbjh/1065495.jhtml,长治经济技术开发区睿通储能科技有限公司100MW/100.42MWh独立混合储能项目,2604-140454-89-05-125826,能源,32000.00,32000.00(万元),施工;监理;勘察;主要设备;重要材料;设计;,公开招标,长治经济技术开发区睿通储能科技有限公司,长治经济技术开发区管理委员会,自主发布,长治经济技术开发区睿通储能科技有限公司,山西省长治经济技术开发区南环西街与光明路路南200米,建设一栋面积为928.52平米的二层综合楼，一层面积为252平米的35kV配电间，一层面积为12平米的危废品库，一层面积为166.25平米的综合水泵房套以及外送线路等其他配套设施，并购置10个5MW容量的超级电容单机柜和15个3.44MW的磷酸铁锂电池舱等设备，用于电力储能。项目建成后预计储能总容量为100MW/100.42MWh。,2026年07月,2026-06-16 17:50:00,省本级,2026/06/16
1065486,https://prec.sxzwfw.gov.cn/jyxxzbjh/1065486.jhtml,吉县全民健身中心(二期)建设项目,2411-141028-89-01-906419,房屋市政,2330.37,2330.37(万元),施工,公开招标,吉县教育体育局,吉县住房和城乡建设管理局,委托发布,山西顺远工程项目管理咨询有限公司,吉县车城乡兰家河社区,吉县全民健身中心2#场馆、健身房以及室外附属工程,2026年07月,2026-06-16 17:45:00,临汾市,2026/06/16
1065471,https://prec.sxzwfw.gov.cn/jyxxzbjh/1065471.jhtml,山西阳泉矿区七元煤矿项目园区外围安全防范视频监控系统,2018-000052-06-02-003212,能源,255.00,255.00(万元),主要设备,公开招标,阳泉煤业集团七元煤业有限责任公司,寿阳县能源局,委托发布,山西嘉盛招标代理有限公司,山西省晋中市寿阳县七元矿,前端电子防范设备主机；前端警示报警主机；云台摄像机；室外摄像机；卡口摄像机；室内球机；室内枪机；太阳能球机套装；智慧报警监测预警模块；融合计算机；服务器；存储服务器及硬盘；核心交换机；接入交换机；光汇聚交换机；辅材等,2026年06月,2026-06-16 17:20:00,省本级,2026/06/16
1065437,https://prec.sxzwfw.gov.cn/jyxxzbjh/1065437.jhtml,永济市城区老旧地下管网更新改造项目,2510-140881-89-01-901380,房屋市政,4572.00,4572.00(万元),施工;监理,公开招标,永济市市政公用服务中心,永济市住房和城乡建设管理局,自主发布,永济市市政公用服务中心,永济市振兴东街(舜都大道－东外环路)、黄河大道(中山西街－水峪口村),"建设规模:振兴东街，西起舜都大道，东至东外环路，全长2200米。新建雨水管3870m，新建雨水支管200m，新建雨水检查井79座，新建雨水支管井检查井19座，新建污水管4360m，新建污水支管200m，新建污水检查井78座，新建污水支管检查井20座。
黄河大道，北起中山西街，南至水峪口村，全长2052米，新建雨水管2140m。新建雨水支管760m，新建雨水口连接管660m，新建雨水检查井34座，新建支管检查井38座，新建雨水口84座，新建(工作井)顶管井16座，新建(接收井)顶管井16座。
建设内容:主要包括雨污水管道及道路恢复工程等内容。",2026年07月,2026-06-16 16:45:00,运城市,2026/06/16
1065433,https://prec.sxzwfw.gov.cn/jyxxzbjh/1065433.jhtml,永济市汛期污染防治(城区雨污分流源头改造)二期工程,2510-140881-89-01-366310,房屋市政,4860.00,4860.00(万元),施工;监理,公开招标,永济市市政公用服务中心,永济市住房和城乡建设管理局,自主发布,永济市市政公用服务中心,永济市城区12个机关单位和63个小区,"(1)建设内容
本项目是对永济市城区12个机关单位和63个小区源头合流排水管网进行雨污分流改造，项目涉及的主要内容包括:排水工程、路面恢复工程等。
(2)建设规模
永济市城区12个机关单位及63个小区排水管网雨污分流源头治理工程。
12个机关单位新建雨水管道2.016km，新建污水管道1.593km，路面恢复6864m2。
63个小区新建雨水管道14.395km，新建污水管道20.486km，路面恢复65161.71m2。",2026年07月,2026-06-16 16:45:00,运城市,2026/06/16
1065428,https://prec.sxzwfw.gov.cn/jyxxzbjh/1065428.jhtml,太原市新庄北街、丽华西路、丽华西路东侧规划路建设工程配套绿化工程,2309-140100-89-01-393784,房屋市政,14883.24,14883.24(万元),设计;施工;监理,公开招标,太原市园林绿化建设服务中心,太原市住房和城乡建设局,自主发布,太原市园林绿化建设服务中心,太原市万柏林区,新庄北街、丽华西路、丽华西路东侧规划路建设工程配套绿化工程位于太原市万柏林区，新庄北街全长约605米，红线宽度20米，丽华西路全长约595米，红线宽度30米，丽华西路东侧规划路全长约549米，红线宽度30米，主要建设内容为道路配套绿化工程。,2026年07月,2026-06-16 16:40:00,太原市,2026/06/16
1065422,https://prec.sxzwfw.gov.cn/jyxxzbjh/1065422.jhtml,灵丘县武灵镇东武庄—代家庄灾后分流、疏浚工程(洪水沟)项目,2604-140224-89-01-184119,水利,670.00,670.00(万元),施工,公开招标,灵丘县武灵镇人民政府,灵丘县水务局,自主发布,灵丘县武灵镇人民政府,灵丘县武灵镇华山河支沟(洪水沟)、泽水河支沟(泽水河路入泽水河排水渠),本工程的主要任务是修建防洪堤，疏浚河道，洪水沟沟道治理长度为1.38km。主要内容为:1.浆砌石挡墙工程:新建浆砌石挡墙，左右岸共计2.365km；2.河道整平疏浚工程:洪水沟沟道清淤疏浚长度为1.38km；3.路涵工程:现状路涵拆除新建1处，长度4m；4.泽水河路入泽水河排水渠工程:新建浆砌石渠道及盖板，长度为470m。,2026年07月,2026-06-16 16:35:00,大同市,2026/06/16
1065420,https://prec.sxzwfw.gov.cn/jyxxzbjh/1065420.jhtml,安泽经济技术开发区化工园区事故应急池项目总承包(EPC),2508-141054-89-01-577608,房屋市政,2091.74,2091.74(万元),设计;施工;主要设备;重要材料,公开招标,山西荀安投资发展有限责任公司,安泽县住房和城乡建设管理局,自主发布,山西荀安投资发展有限责任公司,安泽经济技术开发区唐城工业园原永鑫停车场内， 第安线西侧;,主要建设内容:项目建设有效容积为12000m³的园区事故应急池，用地范围内配套事故进水管线及其他配套设施，通过建设事故应急池，预防事故发生时区域水源污染。主要建设内容包括:事故应急池、值班室(兼控制室)、大门、场地硬化、绿化、围墙及水、电、暖附属配套工程。,2026年07月,2026-06-16 16:35:00,临汾市,2026/06/16
1065419,https://prec.sxzwfw.gov.cn/jyxxzbjh/1065419.jhtml,长子县建制镇(鲍店镇、大堡头镇)雨污分流改造工程项目(鲍店镇东、西、北街村)监理,2404-140428-89-01-808578,房屋市政,5630.96,5630.96(万元),监理,公开招标,长子县鑫安基础设施开发有限公司,长子县住房和城乡建设局,自主发布,长子县鑫安基础设施开发有限公司,鲍店镇东、西、北街村,鲍店镇东、西、北街村雨污分流改造工程,2026年07月,2026-06-16 16:35:00,长治市,2026/06/16
1065401,https://prec.sxzwfw.gov.cn/jyxxzbjh/1065401.jhtml,王家峰热源厂烟气余热回收工程,2605-140100-89-01-922294,房屋市政,3828.09,3828.09(万元),设计;施工;主要设备;监理;重要材料;勘察,公开招标,太原市热力集团有限责任公司,迎泽区住房和城乡建设局,自主发布,太原市热力集团有限责任公司,山西省 太原市 迎泽区南十方街甲字18号,改造王家峰热源厂2台116MW燃气锅炉烟道，采用高效烟气换热器结合热泵的烟气余热梯级回收方案，将烟气进行两级降温，并回收冷凝水。,2026年07月,2026-06-16 16:10:00,太原市,2026/06/16
1065370,https://prec.sxzwfw.gov.cn/jyxxzbjh/1065370.jhtml,汾西县白家河等肉鸡产业园区配套基础设施建设项目,2603-141034-89-01-421042,交通,578.73,578.73(万元),施工,公开招标,汾西县农业农村局,汾西县交通运输局,自主发布,汾西县农业农村局,汾西县,白家河等8个肉鸡产业园区，进场道路沥青铺设硬化，路线总长6.114km。主要工程为路基工程、路面工程、沿线安全设施及其他工程。,2026年03月,2026-06-16 15:45:00,临汾市,2026/06/16
1065312,https://prec.sxzwfw.gov.cn/jyxxzbjh/1065312.jhtml,介休市龙头村坑塘回填整治工程,2605-140781-89-01-282993,国土资源,710.92,710.92(万元),勘察;设计;施工;监理,公开招标,介休市自然资源局,介休市自然资源局,委托发布,山西昕宇工程项目管理有限公司,山西省晋中市介休市龙凤镇龙头村,介休市龙头村坑塘回填整治工程主要对区域内3处历史形成的废弃坑塘开展回填整治、生态修复及水土保持工程，土方回填总量24.26万m3，草籽洒播，植草面积共1.71hm2。治理面积5.46hm2，新增可利用土地3.75hm2。,2026年07月,2026-06-16 12:15:00,晋中市,2026/06/16
1065306,https://prec.sxzwfw.gov.cn/jyxxzbjh/1065306.jhtml,中船寿阳松塔三期100MW风电扩容项目,2404-140700-89-05-638135,能源,29575.70,29575.70(万元),勘察;设计;施工;监理;主要设备;重要材料,公开招标,中船风电(寿阳)新能源开发有限公司,晋中市能源局,自主发布,中船风电(寿阳)新能源开发有限公司,寿阳县松塔镇黑坪村、河头村，羊头崖乡南王昌村、白云村、红洼村。,建设总装机容量50MW风力发电项目，安装6台单机容量为6.25MW、1台单机容量为7.5MW(限6.94MW)及1台单机容量为5.56MW风力发电机组及相关配套设施。,2026年07月,2026-06-16 11:50:00,省本级,2026/06/16
1065291,https://prec.sxzwfw.gov.cn/jyxxzbjh/1065291.jhtml,坞城中路(针织街-荣军北街)道路工程,2505-140100-89-01-981958,房屋市政,3070.99,3070.99(万元),施工,公开招标,太原市城乡基础设施建设中心,太原市住房和城乡建设局,委托发布,致君项目管理有限公司,太原市小店区,该项目分两段建设，分别为坞城中路和荣军北街。坞城中路建设起点为针织街，终点为荣军北街，长度为322.75米，规划红线宽30米，道路等级为城市次干路;荣军北街建设起点为坞城中路，终点为坞城西路，长度为251.74米，规划红线宽30米，道路等级为城市次干路。主要包括道路工程、排水工程、照明工程、电力工程、交通工程、绿化工程、公安天网系统及市政综合管线工程等。,2026年06月,2026-06-16 11:25:00,太原市,2026/06/16
1065216,https://prec.sxzwfw.gov.cn/jyxxzbjh/1065216.jhtml,运城市盐湖区大禹学校扩建项目,2606-140802-89-01-578394,房屋市政,6500.00,6500.00(万元),施工,公开招标,运城市盐湖区大禹学校,运城市盐湖区住房和城乡建设局,自主发布,运城市盐湖区大禹学校,学苑北路34号,"建设内容:新建3栋4层教学楼，1栋1层门房，配套建设硬化、绿化、水、电、暖、气、消防、非机动车位等基础设施。
建设规模:扩建后的初中部新增4轨制，办学规模为10轨制，可容纳学生1500人。大禹学校规划总占地面积为75998.7㎡(约合114亩)，本次项目总占地面积21994.11㎡(约合32.99 亩)。项目总建筑面积为11800㎡(教学楼11700㎡，门房100㎡), 建筑物基底面积为2905㎡，道路及场地硬化面积为11398.69㎡，绿地面积7690.42㎡",2026年07月,2026-06-16 10:10:00,运城市,2026/06/16
1065084,https://prec.sxzwfw.gov.cn/jyxxzbjh/1065084.jhtml,平遥25处古城直管公房修缮工程,2603-140728-89-01-509174,文物保护,1397.21,1397.21(万元),施工,公开招标,平遥县房产服务中心,平遥县文化和旅游局(文物保护),自主发布,平遥县房产服务中心,平遥古城内直管公房19处院落，包括:南巷35号、西湖景19号、马圈6号、砖圈门巷10号、仓巷43号、仓巷51号、沙巷46号、上西门79号、上西门108号、中壁景堡23号、北葫芦肚13号、火神庙27号、米粮市12号、米粮市40号、南大街27号、沙巷36号(2处)、沙巷42号(3处)、五道庙西巷4号(4处)和中沙院巷1号。,南巷35号等25处直管公房的拆除工程、台明及地面工程、墙体工程、木构件工程、木基层工程、木装修工程、屋面工程、院面及其他工程等内容，具体施工内容详见施工图纸及工程量清单。,2026年06月,2026-06-15 18:15:00,晋中市,2026/06/15
1065055,https://prec.sxzwfw.gov.cn/jyxxzbjh/1065055.jhtml,运城市人民医院新院10kV电力外线接入工程,2601-140800-89-01-964406,能源,3259.04,3259.04(万元),施工,公开招标,运城市人民医院,运城市能源局,自主发布,运城市人民医院,运城市安邑东路与禹都大道交叉口东北角。,新建空港变电站至运城市人民医院 10kV线路3.2千米，新建汤里变电站至运城市人民医院10kV线路7.25千米及相关配套基础设施。,2026年04月,2026-06-15 17:35:00,运城市,2026/06/15
1065041,https://prec.sxzwfw.gov.cn/jyxxzbjh/1065041.jhtml,代县服务区重卡充电站工程,2606-140923-89-01-210805,交通,492.56,492.56(万元),勘察;设计;施工;主要设备;重要材料,公开招标,山西大成高速公路有限公司,代县能源局,自主发布,山西大成高速公路有限公司,山西省(区市)忻州市 代县(区)枣林(镇)三家村(代县服务区),南、北区各新建1250kVA箱变1台，分别配960kW充电堆1套，4桩8枪(含1台液冷桩，3台风冷桩)，并配储能4套。,2026年07月,2026-06-15 17:20:00,省本级,2026/06/15
1065008,https://prec.sxzwfw.gov.cn/jyxxzbjh/1065008.jhtml,浮山县养老康复中心建设项目,2601-141027-89-01-128442,房屋市政,6115.73,6115.73(万元),设计;施工;监理,公开招标,浮山县民政和人力资源社会保 障局,浮山县城乡建设和交通运输局,自主发布,浮山县民政和人力资源社会保 障局,尧山东路与东环街交叉口东北角,"总建筑面积9537.89㎡，地上建筑面积9445.03㎡，包括养老康复中心主楼9353.23㎡,门房(含设备间)68.04㎡，氧气间23.76㎡;地下水泵房建筑面积92.86㎡,消防水池容积700m³,主要建设内容为建筑的土建、装饰及配套工程等。",2026年07月,2026-06-15 16:45:00,临汾市,2026/06/15
